Designator,Mid X,Mid Y,Rotation,Layer
D618,36.2,-67.8,90.0,top
D619,39.200002,-67.8,90.0,top
D62,24.2,-7.8,90.0,top
D620,42.200001,-67.8,90.0,top
D621,45.200001,-67.8,90.0,top
D622,48.200001,-67.8,90.0,top
D623,51.200002,-67.8,90.0,top
D624,54.2,-67.8,90.0,top
D625,33.2,-58.8,90.0,top
D626,36.2,-58.8,90.0,top
D627,39.2,-58.8,90.0,top
D628,42.2,-58.8,90.0,top
D629,45.2,-58.8,90.0,top
D63,27.2,-7.8,90.0,top
D630,48.2,-58.8,90.0,top
D631,51.2,-58.8,90.0,top
D632,54.2,-58.8,90.0,top
D633,33.2,-55.8,90.0,top
D634,36.2,-55.8,90.0,top
D635,39.2,-55.8,90.0,top
D636,42.2,-55.8,90.0,top
D637,45.2,-55.8,90.0,top
D638,48.2,-55.8,90.0,top
D639,51.2,-55.8,90.0,top
D64,30.2,-7.8,90.0,top
D640,54.2,-55.8,90.0,top
D641,57.2,-52.8,90.0,top
D642,60.2,-52.8,90.0,top
D643,63.2,-52.8,90.0,top
D644,66.2,-52.8,90.0,top
D645,69.2,-52.8,90.0,top
D646,72.2,-52.8,90.0,top
D647,75.2,-52.8,90.0,top
D648,78.2,-52.8,90.0,top
D649,57.2,-46.8,90.0,top
D65,33.2,-4.8,90.0,top
D650,60.2,-46.8,90.0,top
D651,63.2,-46.8,90.0,top
D652,66.2,-46.8,90.0,top
D653,69.2,-46.8,90.0,top
D654,72.2,-46.8,90.0,top
D655,75.2,-46.8,90.0,top
D656,78.2,-46.8,90.0,top
D657,57.2,-49.8,90.0,top
D658,60.2,-49.8,90.0,top
D659,63.2,-49.8,90.0,top
D66,36.2,-4.8,90.0,top
D660,66.2,-49.8,90.0,top
D661,69.2,-49.8,90.0,top
D662,72.2,-49.8,90.0,top
D663,75.2,-49.8,90.0,top
D664,78.2,-49.8,90.0,top
D665,57.2,-61.8,90.0,top
D666,60.2,-61.8,90.0,top
D667,63.2,-61.8,90.0,top
D668,66.2,-61.8,90.0,top
D669,69.2,-61.8,90.0,top
D67,39.2,-4.8,90.0,top
D670,72.2,-61.8,90.0,top
D671,75.2,-61.8,90.0,top
D672,78.2,-61.8,90.0,top
D673,57.2,-64.8,90.0,top
D674,60.2,-64.8,90.0,top
D675,63.2,-64.8,90.0,top
D676,66.2,-64.8,90.0,top
D677,69.2,-64.8,90.0,top
D678,72.2,-64.8,90.0,top
D679,75.2,-64.8,90.0,top
D68,42.2,-4.8,90.0,top
D680,78.2,-64.8,90.0,top
D681,57.2,-67.8,90.0,top
D682,60.2,-67.8,90.0,top
D683,63.200002,-67.8,90.0,top
D684,66.200001,-67.8,90.0,top
D685,69.200001,-67.8,90.0,top
D686,72.200001,-67.8,90.0,top
D687,75.200002,-67.8,90.0,top
D688,78.2,-67.8,90.0,top
D689,57.2,-58.8,90.0,top
D69,45.2,-4.8,90.0,top
D690,60.2,-58.8,90.0,top
D691,63.2,-58.8,90.0,top
D692,66.2,-58.8,90.0,top
D693,69.2,-58.8,90.0,top
D694,72.2,-58.8,90.0,top
D695,75.2,-58.8,90.0,top
D696,78.2,-58.8,90.0,top
D697,57.2,-55.8,90.0,top
D698,60.2,-55.8,90.0,top
D699,63.2,-55.8,90.0,top
D7,27.2,-4.8,90.0,top
D70,48.2,-4.8,90.0,top
D700,66.2,-55.8,90.0,top
D701,69.2,-55.8,90.0,top
D702,72.2,-55.8,90.0,top
D703,75.2,-55.8,90.0,top
D704,78.2,-55.8,90.0,top
D705,81.2,-52.8,90.0,top
D706,84.2,-52.8,90.0,top
D707,87.2,-52.8,90.0,top
D708,90.2,-52.8,90.0,top
D709,93.2,-52.8,90.0,top
D71,51.2,-4.8,90.0,top
D710,96.2,-52.8,90.0,top
D711,99.2,-52.8,90.0,top
D712,102.2,-52.8,90.0,top
D713,81.2,-46.8,90.0,top
D714,84.2,-46.8,90.0,top
D715,87.2,-46.8,90.0,top
D716,90.2,-46.8,90.0,top
D717,93.2,-46.8,90.0,top
D718,96.2,-46.8,90.0,top
D719,99.2,-46.8,90.0,top
D72,54.2,-4.8,90.0,top
D720,102.2,-46.8,90.0,top
